2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 249: Proxy auth state: UNCHALLENGED
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 124: http-outgoing-1 >> POST /session/e5068542330421e2145c94287a5b4b40/timeouts/implicit_wait HTTP/1.1
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-1 >> Content-Type: application/json; charset=utf-8
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-1 >> Content-Length: 12
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-1 >> Host: localhost:28799
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-1 >> Connection: Keep-Alive
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-1 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-1 >> Accept-Encoding: gzip,deflate
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "POST /session/e5068542330421e2145c94287a5b4b40/timeouts/implicit_wait HTTP/1.1[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "Content-Length: 12[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "Host: localhost:28799[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 >> "[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 86: http-outgoing-1 >> "{"ms":10000}"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 << "HTTP/1.1 200 OK[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 << "Content-Length:72[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 << "Content-Type:application/json; charset=utf-8[\r][\n]"
